Plot,Species5,Species
318,Quema,Quercus macrocarpa
318,Schsc,Schizachyrium scoparium
318,Solri,Solidago rigida
318,Sornu,Sorghastrum nutans
319,Achmi,Achillea millefolium(lanulosa)
319,Amoca,Amorpha canescens
319,Asctu,Asclepias tuberosa
319,Astca,Astragalus canadensis
319,Baple,Baptisia leucantha
319,Corpa,Coreopsis palmata
319,Lesca,Lespedeza capitata
319,Liaas,Liatris aspera
319,Luppe,Lupinus perennis
319,Monfi,Monarda fistulosa
319,Petca,Petalostemum candidum
319,Petpu,Petalostemum purpureum
319,Rudse,Rudbeckia serotina
319,Solne,Solidago nemoralis
319,Vicvi,Vicia villosa
319,Zizau,Zizia aurea
320,Amoca,Amorpha canescens
320,Elyca,Elymus canadensis
320,Koecr,Koeleria cristata
320,Liaas,Liatris aspera
320,Luppe,Lupinus perennis
320,Monfi,Monarda fistulosa
320,Petpu,Petalostemum purpureum
320,Poapr,Poa pratensis
320,Solri,Solidago rigida
321,Achmi,Achillea millefolium(lanulosa)
321,Amoca,Amorpha canescens
321,Asctu,Asclepias tuberosa
321,Astca,Astragalus canadensis
321,Baple,Baptisia leucantha
321,Corpa,Coreopsis palmata
321,Lesca,Lespedeza capitata
321,Liaas,Liatris aspera
321,Luppe,Lupinus perennis
321,Monfi,Monarda fistulosa
321,Petca,Petalostemum candidum
321,Petpu,Petalostemum purpureum
321,Rudse,Rudbeckia serotina
321,Solne,Solidago nemoralis
321,Vicvi,Vicia villosa
321,Zizau,Zizia aurea
322,Queel,Quercus ellipsoidalis
322,Schsc,Schizachyrium scoparium
323,Achmi,Achillea millefolium(lanulosa)
323,Asctu,Asclepias tuberosa
323,Liaas,Liatris aspera
323,Monfi,Monarda fistulosa
324,Elyca,Elymus canadensis
324,Poapr,Poa pratensis
325,Koecr,Koeleria cristata
325,Monfi,Monarda fistulosa
325,Panvi,Panicum virgatum
325,Petpu,Petalostemum purpureum
